,processed_tweet,label_enc
105,moderna working vaccine chinas deadly coronavirus,1
106,coronavirus superaggressive type b mutates much faster viruses world news expresscouk,0
107,coronavirus us companies restricting china travel outbreak spreads,1
108,trump coronavirus china totally control,1
109,update 2 italy bond yields stabilize surge report di main quit,1
110,global marketsstocks shake china virus worries dollar stays strong,1
111,mainland chinese stocks drop coronavirus fears grip investors,1
112,royal travel prince harry flies commercial british airways wester flights travel news travel expresscouk,0
113,coronavirus china puts wuhan lockdown transport shut bid contain virus world news expresscouk,0
114,coronavirus latest everything know far symptoms cases expresscouk,0
115,stock market live updates rally ends last hour boeing wild day netflix falls,1
116,chinas wuhan shuts transport global alarm mounts virus spread reuters,1
117,coronavirus warning 4000 people could killer disease warn experts world news expresscouk,0
118,decide thursday coronavirus constitutes international emergency,1
119,coronavirus set impact chinese airlines first quarter profit aerial ceo,1
120,update 1housebuilders lead ftse 100 bounce china virus fears ease,1
121,metalscopper falls near 3week low virus death toll rises china,1
122,treasuriesus yields mixed investors assess virus implications,1
123,treasuriesus yields pressured canada rate outlook china virus fears,1
124,update 1who says decide thursday china virus global health emergency,1
125,us stockssp 500 nasdaq track record closing highs,1
126,us stockstech sector pushes sp 500 slight gain,1
127,saudi arabia screen travelers china virus outbreak reuters,1
128,factboxwho expert panel decide whether new virus emergency,1
129,treasury yields rise investors monitor earnings virus development,1
130,coronavirus mapped coronavirus found uk alert expresscouk,0
131,hong kong leader lam insists staying tackle crises reuters,1
132,emerging marketsstocks gain ground china soothes worries virus outbreak,1
133,hong kong high alert tackle coronavirus outbreak reuters,1
134,virus spreads chinese cities calls emergency meeting reuters,1
135,threat australia new coronavirus world news guardian,0
136,coronavirus china bars 11 residents leaving city center outbreak world news guardian,0
137,coronavirus steps back declaring public health emergency world news guardian,0
138,pacific nations still reeling measles outbreak prepare coronavirus world news guardian,0
139,wuhans coronavirus death toll rises 17 547 infected china sparking fears wider spread cnn,0
140,visual guide wuhan virus outbreak cnn,0
141,premarket stocks stock market eerily calm uhoh cnn,0
142,inside ground zero chinas coronavirus outbreak cant even tell lunar new year town cnn,0
143,us coronavirus heres protect deadly virus spreads cnn,0
144,olympic qualifying events canceled moved due deadly wuhan cnn,0
145,asian stocks recover losses sparked coronavirus outbreak cnn,0
146,us briefing bezos hacked saudis impeachment trial coronavirus us news guardian,0
147,hong kongs lam says city vigilant coronavirus reuters,1
148,transportation shut city new coronavirus originated,0
149,take looknew coronavirus outbreak spreads china,1
150,coronavirus could shave 3 oil prices goldman warns,1
151,china coronavirus six questions scientists asking,1
152,public transportation suspended china city combat coronavirus outbreak,1
153,postpones decision declaring china coronavirus global health emergency,1
154,wrap 13chinas wuhan shuts transport global alarm mounts virus spread,1
155,5 things know stock market opens january 22 2020,1
156,one stock signal whether coronavirus getting serious,1
157,global marketsasian stocks bounce investors welcome china virus response,1
158,thailand finds fourth china coronavirus infection,1
159,european markets focus amid coronavirus fears,1
160,gold slips resurgent risk appetite virus fears ebb,1
161,coronavirus looks like contained pharma ceo says,1
162,wrap 6pandemic fears grow china virus toll rises nine,1
163,stocks close little changed ibm leads tech shares higher,1
164,outlook thursday earnings ecb decision jobless claims,1
165,update 4oil dips surplus forecast overshadows libya disruption,1
166,oil slides nearly 3 surplus forecast overshadows libya disruption,1
167,update 6oil slides 2 surplus forecast overshadows libya disruption,1
168,update 2oil slides iea predicts surplus libya disruption concerns fade,1
169,davostrump says us good shape plan coronavirus,1
170,update 5oil falls surplus forecast overshadows libya disruption,1
171,coronavirus impact chinese tourism would hit prolonged outbreak,1
172,rapid global response new coronavirus shows progress made since sars,0
173,china coronavirus takes travel stocks watch,1
174,united says two passengers appeared show symptoms coronavirus,1
175,oil falls rising crude product inventories oilpricecom,1
176,goldman china coronavirus could push oil 3 oilpricecom,1
177,davostrump says us great shape plan coronavirus,1
178,tankers idle libyan ports oil exports dry oilpricecom,1
179,oil prices head lower despite small crude draw oilpricecom,1
180,says need—yet—to declare spread novel virus international emergency science haas,1
181,coronavirus panic anger wuhan china orders city lockdown world news guardian,0
182,hottest energy conflict right oilpricecom,1
183,says decide thursday china virus global health emergency reuters,1
184,microsoft’s software plan duo android phone surprisingly realistic,0
185,update 1hotel operators waive fees chinese hotel cancellations virus fears grow reuters,1
186,hotel operators waive fees chinese hotel cancellations virus fears grow reuters,1
187,novel coronavirus recently emerged china research underway address latest viral threat sciencedaily,1
188,times viral global outbreaks like coronavirus ontario’s overcrowded underfunded hospitals severely disadvantaged,1
189,moderna announces funding award cpi accelerate development messenger rna mrna vaccine novel coronavirus,1
190,coronavirus inactivation reported recent intercept blood system publication transfusion medicine,1
191,codiagnostics nasdaqcode prepares coronavirus test world health organization weighs global health emergency,1
192,appetite warm meat drives risk disease hong kong china environment guardian,0
193,wuhan londonsized city virus began bbc news,0
194,world financial markets rocked china coronavirus business guardian,0
195,fourteen people uk tested coronavirus world news guardian,0
196,chinese state media downplays coronavirus xi strikes positive tone world news guardian,0
197,china virus ten cities locked beijing festivities scrapped world news guardian,0
198,urges global unity fight coronavirus outbreak world news guardian,0
199,huawei developer conference postponed due wuhan coronavirus,0
200,world health organization says it’s early declare global emergency new coronavirus,0
201,wearing masks stop spread viruses bbc news,0
202,coronavirus warning complications arise symptoms left untreated expresscouk,0
203,ncis season 17 actress find challenging playing director jenny shepard tv radio showbiz tv expresscouk,0
204,coronavirus poll worried deadly coronavirus outbreak vote world news expresscouk,0
205,emerging marketsbrazil stocks record high,0
206,us stockswall street pares losses positive coronavirus news,1
207,us cdc seeks emergency approval use diagnostic test coronavirus,1
208,global marketsasian shares wilt oil tumbles china virus spreads,1
209,global marketscoronavirus fears weigh global equity markets,1
210,chinese stocks worst day eight months coronavirus spreads cnn,0
211,china new year plans scrapped wuhan coronavirus spreads cnn,0
212,dementia could souvenir improve memory people mild cognitive impairment expresscouk,0
213,senate republicans need end trial donald trump confesses anything else cnn,0
214,chinas wuhan coronavirus cdc advisers concerned lack basic information cnn,0
215,wuhan coronavirus yet public health emergency international concern cnn,0
216,officials try contain china coronavirus — well public fears,1
217,global marketsvirus fears keep stocks red,1
218,european stocks close lower coronavirus fears dovish ecb tone,1
219,wuhan virus last thing chinas economy needs right cnn,0
220,update 8oil falls 2 specter china virus threatens fuel demand,1
221,emerging marketslatam stocks fall,1
222,coronavirus cases rise 800 worldwide infection spreads,1
223,coronavirus cdc advises nonessential travel wuhan china,1
224,map shows latest spread coronavirus,1
225,china coronavirus confirmed cases,1
226,coronavirus costs china box office least 210 million weekend,1
227,update 3saudi arabia denies case coronavirus infection,1
228,emerging marketsstocks gas china virus fears worsen,0
229,5 things know stock market opens january 23 2020,1
230,procter gamble pg earnings q2 2020,1
231,rail stocks look ready break chart suggests,1
232,oil falls 3 specter china virus threatens fuel demand,1
233,nikkei retreats china virus spreads energylinked firms sag,1
234,treasuriesus yields tumble nagging worries new virus,1
235,procter gamble says monitoring china coronavirus,1
236,davos 2020 carrie lam says hong kongs ready deal coronavirus,1
237,says declaring virus global emergency taking seriously,1
238,snakes probably aren’t spreading new china virus,1
239,global marketsasian stocks fall safe havens china virus fears grow,1
240,worst yet come analyst says china coronavirus outbreak,1
241,coronavirus news security minister gives crucial update fears disease may hit uk rise uk news expresscouk,0
242,coronavirus threat nurse tears admits staff afraid worried cases spike world news expresscouk,0
243,china coronavirus outbreak many people really infected latest death toll world news expresscouk,0
244,wuhans coronavirus superspreader alarms disease detectives cnn,0
245,coronavirus latest highways near wuhan blocked stop people leaving world news expresscouk,0
246,coronavirus outbreak china seals second major city 18m people lockdown world news expresscouk,0
247,coronavirus china lockdown footage shows wuhan quarantine panic amid contagious fears world news expresscouk,0
248,coronavirus panic terrified chinese tv presenters wear face masks studio broadcast world news expresscouk,0
249,coronavirus symptoms true number infected could hidden asymptomatic patients science news expresscouk,0
250,china coronavirus serious china virus epidemic virus spread world news expresscouk,0
251,coronavirus major holiday warning issued foreign office top asia destinations travel news travel expresscouk,0
252,coronavirus uk fears five hospital patients scotland tested deadly virus uk news expresscouk,0
253,coronavirus puts uk police stations lockdown suspect shows symptoms virus uk news expresscouk,0
254,coronavirus outbreak beijing forced cancel chinese new year celebrations world news expresscouk,0
255,coronavirus latest ireland high alert dublin patient returns china fever uk news expresscouk,0
256,coronavirus latest fifth suspected case feared uk patient rushed hospital uk news expresscouk,0
257,coronavirus lockdown zhou sealed panicked officials outbreak spreads world news expresscouk,0
258,coronavirus warning world facing huge risk weekend chinese new year time bomb world news expresscouk,0
259,chinese new year 2020 marks spencer horror gaffe offering wrong food deal uk news expresscouk,0
260,wrap 2us weekly jobless claims rise modestly,0
261,coronavirus outbreak oil prices drop amid growing fears global health crisis world news expresscouk,0
262,death paradise season 9 episode 4 promos happen next week’s episode tv radio showbiz tv expresscouk,0
263,dow drop china coronavirus worsens mnuchin rips greta thunberg,1
264,stock market live updates sp claws back netflix pops coronavirus lifts biotech ge jumps,1
265,grainswheat hovers near 18month peak global supplies tighten,1
266,grainscorn futures exceed threemonth high us export demand,1
267,pound us dollar exchange rate gbpusd flat boe decision ‘genuine toss up’ city business finance expresscouk,0
268,snakes could original source new coronavirus outbreak china cnn,0
269,coronavirus uk latest safe fly airports take steps stop spread virus travel news travel expresscouk,0
270,coronavirus warning says deadly coronavirus could become global health emergency world news expresscouk,0
271,nigel farage ‘astonished’ uk government’s response coronavirus uk news expresscouk,0
272,high blood pressure eating bananas could keep condition bay expresscouk,0
273,coronavirus warning china absolutely helpless bid stop deadly virus spreading world news expresscouk,0
274,chinas coronavirus negative markets stops,1
275,stocks dive fears coronavirus spread cnn,0
276,xi jinping virus latest crisis face chinas president cnn,0
277,disney closes shanghai park deadly coronavirus spreads cnn,0
278,lunar new year means everything china canceling celebrations massive deal cnn,0
279,coronavirus death toll china hits 41 medical staff struggle cope cnn,0
280,asian stocks quiet lunar new years eve turbulent week asian market latest cnn,0
281,man diagnosed wuhan coronavirus near seattle treated largely robot cnn,0
282,wuhans coronavirus case confirmed chicago second us cnn,0
283,shanghai disney shuts prevent spread virus,1
284,mcdonalds closes restaurants five chinese cities coronavirus cnn,0
285,global marketschina virus fears spook us shares oil prices,1
286,10year treasury yield falls 17 amid coronavirus fears,1
287,europe markets says global emergency yet china virus,1
288,metalscopper set sharpest weekly drop near 19 months amid virus scare,1
289,emerging marketsassets stable still set first weekly decline month,1
290,cee marketscurrencies gain eurozone pmi czech bond rally pauses,1
291,wuhans scientists it’s like lockdown,1
292,global marketspositive eurozone data pushes global equity markets higher,1
293,scientist hopes test coronavirus drugs animals lockeddown wuhan,1
294,update 6oil falls 61 heads weekly loss china virus concerns,1
295,energy rout rolls trader says one stock could bottomed,1
296,us stockswall st bogged china virus fears intel limits losses,1
297,hospitals chinas virus epicenter launch public appeals supplies,1
298,dollar dips vs yen investors reach safe havens virus scare,1
299,france confirms first three cases coronavirus europe,1
300,livestockcattle futures set multimonth lows china virus fears hit markets,1
301,asia golddemand tepid holidays virus threat choke activity,1
302,coronavirus death toll rises 26 900 confirmed cases worldwide,1
303,power rankings maximum impact virus outbreak breakfast bull,1
304,global marketseuropean stocks shrug coronavirus fears,1
305,wuhan coronavirus chinas quarantine ethical atlantic,0
306,coronavirus fear hits oil prices drop since may,1
307,gottlieb chinas coronavirus contagious sars less severe,1
308,cdc confirms second us case coronavirus chicago resident diagnosed,1
309,dow drops 170 points end week coronavirus fears grow,1
310,china virus death toll rises 41 1000 infected,1
311,virus scare markets look fed rate policy keep rally going,1
312,bonds look like flashing warning global markets,1
313,stocks making biggest moves midday intel boeing disney,1
314,5 things know stock market opens january 24 2020,1
315,us oil rig count inches higher production hits 13 million bpd oilpricecom,1
316,oil bears back demand fears go viral oilpricecom,1
317,40 oil real possibility oilpricecom,1
318,speculators dragging natural gas oilpricecom,1
319,mtr axing hong kong lunar new year party essential coronavirus crisis,1
320,emerging marketslatam fx flat headed weekly gain coronavirus weighs,1
321,global marketseuropean stocks climb economic data fuels growth hopes,1
322,global carmaker luxury brands hit coronavirus shuts wuhan cnn,0
323,much longer trust google’s search results,0
324,felt like et uk man describes surreal coronavirus quarantine world news guardian,0
325,high blood pressure avoid baked beans want lower reading expresscouk,0
326,coronavirus news britain braced killer virus outbreak expresscouk,0
327,coronavirus tracker deadly coronavirus reached uk expresscouk,0
328,coronavirus tracker map chaos almost 1000 cases confirmed horror outbreak 26 dead expresscouk,0
329,coronavirus tests carried california texas world news expresscouk,0
330,coronavirus shock ‘concerning’ study finds virus spread chickens turkeys science news expresscouk,0
331,you’re feeling nervous coronavirus you’re alone,0
332,coronavirus spreading expert reveals virus passed sufferers eyes expresscouk,0
333,ncis season 17 happened agent ellie bishop’s husband ncis tv radio showbiz tv expresscouk,0
334,coronavirus outbreak coronavirus hit uk area affected expresscouk,0
335,cabin crew secrets flight attendants reveal weirdest things they’ve seen passengers travel news travel expresscouk,0
336,coronavirus nurse warns horrific hospital conditions means ‘everyone infected’ world news expresscouk,0
337,coronavirus stay safe airport hand sanitizer protect travel news travel expresscouk,0
338,coronavirus patients treated next dead bodies wuhan hospitals hit breaking point world news expresscouk,0
339,coronavirus could affect 350000 wuhan alone scientists drastically estimates world news expresscouk,0
340,coronavirus latest prevent deadly virus’s symptoms spreading expresscouk,0
341,coronavirus panic poll reveals people fear deadly outbreak 14 people tested uk world news expresscouk,0
342,coronavirus outbreak disneyland closed crisis escalates 1000 suspected cases world news expresscouk,0
343,coronavirus easier viruses spread winter months expresscouk,0
344,coronavirus vs spanish flu deadly china outbreak vs flu killed 50 million expresscouk,0
345,older men main victims new epidemic say chinese health chiefs expresscouk,0
346,coronavirus latest fresh fears uk outbreak despite 14 people cleared deadly virus uk news expresscouk,0
347,coronavirus panic mystery illness fits profile deadly disease x warns world news expresscouk,0
348,coronavirus latest uk gps told lock suspected victims 2000 could carriers world news expresscouk,0
349,‘like walking dead’ coronavirus hell corpses litter hospitals people dropdead world news expresscouk,0
350,thai ted bundy arrested horror discovery human remains world news expresscouk,0
351,coronavirus panic first vaccine batch beat virus ready take months test world news expresscouk,0
352,coronavirus shadowy lab holding world’s deadliest diseases based epicenter outbreak world news expresscouk,0
353,boris johnson must avoid critical theresa may david cameron nhs error pm uk news expresscouk,0
354,coronavirus latest public health england says 14 tested deadly virus uk news expresscouk,0
355,coronavirus latest mystery deleted social media posts china honest world news expresscouk,0
356,coronavirus latest death toll rises 25 18 million placed quarantine world news expresscouk,0
357,tail volcano update ash plume seen space philippines volcano brink eruption science news expresscouk,0
358,riverdale season 4 miss apple yard actress emily pennant tv radio showbiz tv expresscouk,0
359,coronavirus desperate chinese build entire 1000bed hospital 48 hours world news expresscouk,0
360,coronavirus uk britons follow virus prevention methods health expert warns uk news expresscouk,0
361,second case coronavirus confirmed us,0
362,china heads lunar new year shutdown virus spreads europe reuters,1
363,calls global ban wild animal markets amid coronavirus outbreak world news guardian,0
364,coronavirus uk universities issue quarantine warning chinese students world news guardian,0
365,uk seeks 2000 air passengers wuhan amid coronavirus fears world news guardian,0
366,us europe clash climate crisis threat last davos day business guardian,0
367,life lockdown china hospital queues empty streets world news guardian,0
368,coronavirus death toll reaches 41 china first cases europe world news guardian,0
369,know far coronavirus outbreak world news guardian,0
370,chinese city plans build coronavirus hospital days world news guardian,0
371,us briefing chinas lockdown grows wildfires american neonazis us news guardian,0
372,coronavirus latest deadly virus confirmed chicago coronavirus spreads across usa world news expresscouk,0
373,china coronavirus lessons learned sars outbreak bbc news,0
374,lam courts davos elite dim sum hong kong scrambles contain virus reuters,1
375,coronavirus horror disturbing footage shows zombielike infected residents wuhan world news expresscouk,0
376,brexit changes eu ferry travel requirements throughout 2020 says discover ferries travel news travel expresscouk,0
377,coronavirus could turn global pandemic freak solar minimum means outbreak ‘imminent world news expresscouk,0
378,hk leader declares virus emergency halts official visits mainland china reuters,1
379,coronavirus hell doctor dies nurse reveals horror fighting frontline outbreak world news expresscouk,0
380,coronavirus latest news expert warns vaccine take least year develop uk news expresscouk,0
381,us evacuate wuhan consulate coronavirus outbreak,1
382,hong kong leader declares citywide virus emergency coronavirus,1
383,falkland islands rallying cry ‘we always british… need brexit help’ world news expresscouk,0
384,coronavirus latest trump evacuate us citizens china outbreaks ‘ground zero world news expresscouk,0
385,coronavirus france two cases confirmed deadly virus strikes europe world news expresscouk,0
386,french health officials confirm three cases wuhan coronavirus cnn,0
387,central texas medical supply stores running medical masks following possible case coronavirus cnn,0
388,wuhans coronavirus death toll rises 56 cnn,0
389,whats changed 2003 sars outbreak current wuhan coronavirus cnn,0
390,scientists race find wuhan victims became ill world news guardian,0
391,coronavirus spread accelerating china says xi jinping world news guardian,0
392,xi orders centralized response coronavirus responsibility prevent control,1
393,safer environment lithiumion leadacid batteries oilpricecom,1
394,coronavirus one food market global panic world news guardian,0
395,us chartering flight evacuate americans diplomats china amid coronavirus outbreak politics,0
396,locust swarm biblical proportion sweep across africa apocalyptic scenes world news expresscouk,0
397,new flu bad bad cold santa barbara independent,0
398,take stop wuhan coronavirus opinion cnn,0
399,update 2coronavirus patients arrived france without symptoms,1
400,fifth us case coronavirus confirmed arizona cdc,1
401,canadas first coronavirus patient symptoms flight china,1
402,coronavirus chief meet chinese officials beijing,1
403,coronavirus beginning hit chinas economy,1
404,forexyen jumps yuan slumps worries china struggling contain virus,1
405,update 2canada identifies first case coronavirus,1
406,coronavirus joins tough list 2020 tests chinas global leadership,1
407,earnings could spark significant selloff art hogan warns,1
408,priti patel uk taking precautions regarding coronavirus politics guardian,0
409,worlds collide trump opinion cnn,0
410,hong kong bars hubei residents entering city coronavirus fears intensify reuters,1
411,latest coronavirus spreading china beyond reuters,1
412,death tolls coronavirus outbreak china 56 state media reuters,1
413,canada identifies first case coronavirus reuters,1
414,coronavirus cure china says new treatment tested nurses successful world news expresscouk,0
415,coronavirus expats trapped ‘zombie city’ wuhan make plans funerals world news expresscouk,0
416,health warning deadly flu virus ‘accelerating’ death toll rises world news expresscouk,0
417,one hundred australian children stranded wuhan coronavirus spreads world news guardian,0
418,coronaviruss ability spread getting stronger china suggests world news guardian,0
419,wuhans residents keep wary eye lockdown world news guardian,0
420,virus warning deadly viruses could unleashed ice melts science news expresscouk,0
421,coronavirus conspiracy kevin petersen mocked twitter sharing bizarre theory uk news expresscouk,0
422,coronavirus 100000 may already infected experts warn world news guardian,0
423,coronavirus spread world news guardian,0
424,us confirms two coronavirus cases bringing total five world news guardian,0
425,coronavirus two kids ‘abandoned’ parents airport son stopped boarding world news expresscouk,0
426,coronavirus influencer forced apologize recommending bat soup linked virus world news expresscouk,0
427,chinas unprecedented quarantines could wider consequences experts say cnn,0
428,china says coronavirus spread symptoms show calling question us containment strategy cnn,0
429,wuhans coronavirus fourth case confirmed us cnn,0
430,reliable big 3 oil forecasters oilpricecom,1
431,demand fears driving today’s oil markets oilpricecom,1
432,us coronavirus us citizen says shes angry scared cnn,0
433,xi says china faces grave situation virus death toll hits 42 reuters,1
434,coronavirus french citizens evacuated wuhan airplane disease spreads world news expresscouk,0
435,coronavirus outbreak virus spread rapid increases experts warn science news expresscouk,0
436,coronavirus cure hiv drug could stop deadly disease major breakthrough revealed world news expresscouk,0
437,sound alarm wuhan coronavirus opinion cnn,0
438,analysts starting downgrade stocks coronavirus,1
439,market outlook tuesday apple starbucks 3m amd earnings consumer confidence,1
440,oil hits 3month low fears coronavirus slow growth,1
441,antihiv combination existing drugs outwit new coronavirus science haas,1
442,oil prices energy analysts fear impact fastspreading coronavirus,1
443,saudi arabia uae caution oil market gloom china virus reuters,1
444,breaking views new china virus bigger threat world economy reuters,1
445,chinas unprecedented reaction wuhan virus probably couldnt pulled country cnn,0
446,chinese officials crack wildlife markets coronavirus outbreak nears 3000 cases cnn,0
447,gold heading 2000 prices surge global fear cnn,0
448,equity monday global selloff mural snags 23m two unicorns can’t raise,0
449,fda warns purely maker stop claiming hand sanitizers eliminate ebola mrsa cnn,0
450,us coronavirus cases know far cnn,0
451,scientists moving record speed create new coronavirus vaccines—but may come late science haas,1
452,oil prices fallen 10 coronavirus raises fears global growth cnn,0
453,ivory coast tests first person africa coronavirus cnn,0
454,us advises citizens reconsider travel china coronavirus outbreak politics,0
455,daily briefing namibia might next big thing astronomy,1
456,rptinsightconfusion lost time testing woes slowed chinas coronavirus response reuters,1
457,jj pretty confident create china coronavirus vaccine,1
458,column funds took break selling oil – coronavirus concerns escalated reuters,1
459,global businesses feeling effects coronavirus cnn,0
460,coronavirus prompts automakers evacuate workers china weigh factory delays,1
461,us deals major blow iranian investors oilpricecom,1
462,dow posts worst day since october turns negative year coronavirus fears grow,1
463,apple q120 earnings tuesday watch,1
464,asia markets jan 27 coronavirus outbreak affecting investor sentiment,1
465,emerging marketsassets fall china virus fears grow african rand tumbles,1
466,metalschina virus concerns push copper near 8week low,1
467,coronavirus fears send stocks lower—crater pros react,1
468,forex markets coronavirus outbreak focus,1
469,update 5oil drops 60 china virus stokes demand concern,1
470,update 6oil drops 60 china virus stokes demand concern,1
471,europe markets china coronavirus fears intensify,1
472,oil markets coronavirus focus,1
473,update 3us stock rally faces major test china virus spreads,1
474,treasuriesyields threemonth lows yield curve flattens coronavirus spreads,1
475,south korea stocks drop 3 coronavirus deaths cross 100 china,1
476,crater selloff panic people waiting,1
477,forexyuan commoditylinked currencies slide chinese virus toll rises,1
478,global marketsstocks slide twoweek low china virus fears safe havens gain,1
479,forexyuan hits 3week low yen rises china grapples virus outbreak,1
480,global marketsshares oil slide china virus fears intensify yen treasuries demand,1
481,gold markets coronavirus focus,1
482,dow sink kobe bryant remembered wuhan virus spreads,1
483,update 4saudi arabia uae caution oil market gloom china virus,1
484,opec president sees little impact coronavirus oil market aps,1
485,us stocks exposed china consumer market hit coronavirus,1
